doi,year,title,sentence,CFLC,LVLH,DISP,INEQ,AVLB,QUAL,AGRI,ANIM,FISH,INFC,MORT,MIND,PREG,NUTR,SKIN,OCC,RESP,OTHER,TRSP,SUPPLY,SANIT,STRAIN,IT,RESI,PUBL,ENER,INDS,AGRC,FRST,RECR,ECOG
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"Since 1990, they have caused an estimated 1.6 million deaths globally, and US$260-$310 billion in economic damages per year [3].",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"From 1950 to 2018, over 60% of natural hazards that have hit small states have been in the Caribbean, harming over 24 million people through injury or loss of livelihoods and homes, causing 250,000 deaths [13].",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"In many cases, the damages exceed the gross domestic products (GDPs) of these countries, significantly reducing their ability to cope or recover [see 14].",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"A recent working group focusing on climate change migration in the Caribbean found that it is highly probable that many residents will be forced to leave their homes as climate change is likely to have worse impacts on the Caribbean, compared to other regions [15].",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"When underlying social vulnerabilities persist in shaping patterns and outcomes, a lack of mobility can worsen inequality.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"This is not unique to the Caribbean, and legal and governance lacunae disproportionately harm residents of SIDS whose adaptive capacities can be drastically reduced following a major disaster [40].",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"Before the earthquake, over three-quarters of the population lived on less than US$2 a day, and over one million were dependent on remittances [51].",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"On January 12, 2010, the 7.0 magnitude earthquake hit Haiti, killing around 250,000 persons and injuring an estimated 300,000.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"The earthquake largely affected the capital city of Port-au-Prince which, as Haiti's most populous city, was home to around 2.8 million people at the time.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"Many hospitals, houses, and other infrastructure were ruined, so people were forced to resort to squatting, and faced increasingly scarce resources.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"By the end of September 2010, about 150,000 Haitians had left the country [55].",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"The farming sector was negatively impacted as land in the north was less fertile, and continues to be a bad investment due to the threat of ash fall and acid rain [65].",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"The residents complained about a lack of nutrition, sanitation, and generally being emotionally and physically taxed [65].",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"Damages to social infrastructure were accompanied by psychological distress and public health effects, largely due to the impact of ash, which particularly affected children [68–70].",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,Developed nations thus contributed to uncertainty and disruption for migrants.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"The poor distribution of aid after the earthquake, particularly outside of Port-au-Prince where many fled, led to harsh living conditions in the shelters and tented camps that were built hastily yet lasted much longer than foreseen.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"These conditions severely impacted the health and livelihoods of the residents; for example, a third of those living in camps did not have access to toilet facilities five years after the earthquake [82].",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,The collapse of hospitals during the earthquake caused many of the severely injured to attempt to leave the country [52].,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,It took even more months for electricity and water to be available to residents who moved back [97].,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"By April 2018, over half of the residents had returned, but they complained about bad conditions, including stagnant water and the presence of vermin [99].",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"The cascading nature of disasters: In the Caribbean, disasters have compounding effects—events tend to happen in quick succession and recovery times are short.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"In the case of Haiti, ten months after the 2010 earthquake, a cholera outbreak caused over 10,000 deaths [85].",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ijdrr.2023.104029,2023,(Un)just post-disaster mobilities in small island developing states: Revisiting the patterns and outcomes of three major environmental disasters in the Caribbean,"Hurricane Sandy hit in 2012, which caused the deaths of a little over 50 people with many more missing, and worsened the pressure of the cholera outbreak on the country's sanitation and water infrastructure [117].",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
