paper_id;title;text;sentence_id;labels
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;1. Introduction;IMAEAS_1;PaperSection
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Myocardial infarction is a significant cause of mortality and morbidity.1 Many risk factors for myocardial infarction such as hypertension, smoking, diabetes mellitus, smoking, dyslipidemia are widely known.1, 2, 3;IMAEAS_2;Background
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;External triggers, which are exemplified by wake-up time, Mondays, winter season, physical exertion, emotional upset, overeating, lack of sleep, cocaine, marijuana, anger, and sexual activity, can also precipitate myocardial infarction.4;IMAEAS_3;Background
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Natural disasters have also been reported to increase the risk of myocardial infraction.5, 6;IMAEAS_4;Background
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;However, existing data on the impact of earthquakes on acute coronary syndromes are conflicting.;IMAEAS_5;Background
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;The aim of this systematic review is to evaluate the existing literature and increase the power and consequently the precision of the estimates about the impact of earthquakes on the incidence of acute coronary syndromes and cardiac mortality.;IMAEAS_6;Objective
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Furthermore, we examined the impact of the time of earthquakes on the incidence of acute coronary syndromes.;IMAEAS_7;Objective
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;2. Material and methods;IMAEAS_8;PaperSection
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;2.1. Search strategy and selection of studies;IMAEAS_9;PaperSection
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;A systematic review was conducted using Meta-analysis Of Observational Studies in Epidemiology (MOOSE) guidelines.7;IMAEAS_10;Method
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Two independent investigators (G.B. and G.T.) systematically searched MEDLINE and Cochrane databases for retrieving all existing original studies on the impact of earthquakes on acute coronary syndromes from inception until December 20, 2017, without language restriction.;IMAEAS_11;Method
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Two independent investigators (G.B. and G.T.) systematically searched MEDLINE and Cochrane databases for retrieving all existing original studies on the impact of earthquakes on acute coronary syndromes from inception until December 20, 2017, without language restriction.;IMAEAS_11;Data
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;We used the algorithm “earthquake AND (heart attack OR cardiac events OR myocardial infarction OR coronary syndrome)”.;IMAEAS_12;Method
IMAEAS;Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;The reference list of the included studies and relevant review studies were also searched. All studies reporting the impact of earthquakes on the incidence of myocardial infarction or mortality were included.;IMAEAS_13;Method
