title;sentence;sentence_id;health;healthSubclass;water;waterSubclass;agriculture;agricultureSubclass;culturesAffected;economy;economySubclass;social;socialSubclass;infrastructure;infraSubclass
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;All these studies reported a positive association between the Great East Japan earthquake and an increased incidence of acute coronary syndromes.12, 14, 32;IMAEAS_24;1;RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;By contrast, a significant increase in the standardized incidence ratio of fatal myocardial infarction but not for nonfatal myocardial infarction was observed in areas significantly affected by the major tsunami that followed.6;IMAEAS_26;1;MORT, RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;In addition, in tsunami-stricken areas, the damage of catheterization laboratories resulted in reduction in percutaneous coronary interventions (PCI) and increase in in-hospital mortality compared to the inland areas.6;IMAEAS_27;1;MORT;;;;;;;;;;1;STRAIN
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;A significant increase in the incidence of acute myocardial infarction and a positive association between myocardial infarction incidence and seismic scale of the initial shock and the aftershocks have also been reported.11, 31;IMAEAS_29;1;RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;This showed a significant increase in cardiac-related hospital admissions, ST-elevation myocardial infarction, and noncardiac chest pain in the first 2 weeks following the early morning September earthquake but not after the early afternoon February earthquake, whereas stress cardiomyopathy cases were significantly higher in the early afternoon February earthquakes.13;IMAEAS_33;1;RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Moreover, although most studies have reported the short effect of earthquakes on myocardial infarction incidence, Nakagawa et al. showed an increase in long-term mortality after myocardial infarction due to the Niigata-Chuetsu earthquake.20;IMAEAS_34;1;RESP, MORT;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;A significant association between earthquakes and the incidence of acute coronary syndromes or cardiac mortality was also found in the Northridge, Great Hanshin-Awaji, Athens, Sichuan, Armenia, and Noto Peninsula earthquakes.4, 16, 17, 18, 19, 22, 25, 27, 29, 30, 33;IMAEAS_35;1;RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Particularly, after the Christchurch earthquake, it was noticed that there was a trend of increased myocardial infarction incidence after the morning earthquake compared to that after the afternoon earthquake.13;IMAEAS_38;1;RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;This notion is further based on the findings of the other early morning earthquakes that were associated with an increase in myocardial infarction incidence.15, 22, 24, 27 By contrast, regarding the Loma Prieta and Thessaloniki earthquakes that occurred in the afternoon, no correlation with the incidence of myocardial infarction was detected.16, 28;IMAEAS_39;1;RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Another interesting finding was that in the Northridge earthquake, 54% (13 of 24) of deaths were related to atherosclerosis on the day of the earthquake that occurred between midnight and 6 a.m., whereas only 9% (3 of 32) of deaths occurred during this time period during the 7 days before the earthquake (P< 0.002).29;IMAEAS_41;1;RESP, MORT;;;;;;;;;;;
